DOR Code,Municipality,County,Year,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita,Opiod Deaths,Democrat,Republican,Unemployment
346,Winthrop,SUFFOLK,1/1/2017,"18,042","530,986,000","29,318","1,716,742,400","95,153",9,54.70%,40.60%,3.55
347,Woburn,MIDDLESEX,1/1/2017,"39,298","1,363,970,000","34,899","6,189,092,800","157,491",10,53.70%,41%,3.14
348,Worcester,WORCESTER,1/1/2017,"184,211","3,610,716,000","19,780","11,615,944,200","63,058",123,66.70%,27.70%,4.19
349,Worthington,HAMPSHIRE,1/1/2017,"1,180","37,652,000","32,264","164,406,000","139,327",0,57.60%,30.70%,3.71
350,Wrentham,NORFOLK,1/1/2017,"11,434","507,151,000","45,008","1,832,199,200","160,241",2,46.70%,46%,3.12
351,Yarmouth,BARNSTABLE,1/1/2017,"23,552","635,653,000","26,876","5,463,786,300","231,988",8,52.50%,42.20%,4.96
1,Abington,PLYMOUTH,1/1/2018,"16,227","537,854,000","33,244","1,892,537,300","116,629",5,47.50%,46.50%,3.00
2,Acton,MIDDLESEX,1/1/2018,"23,549","1,438,171,000","61,849","4,306,412,900","182,870",1,73.50%,20.50%,1.92
3,Acushnet,BRISTOL,1/1/2018,"10,477","298,916,000","28,701","1,105,676,500","105,534",0,43.50%,51.80%,3.11
4,Adams,BERKSHIRE,1/1/2018,"8,187","179,034,000","21,675","497,127,100","60,722",4,60.80%,32.40%,4.34
5,Agawam,HAMPDEN,1/1/2018,"28,839","800,179,000","27,854","2,949,078,000","102,260",8,42.80%,51.20%,3.05
6,Alford,BERKSHIRE,1/1/2018,495,"29,436,000","59,467","297,724,600","601,464",0,76.90%,17.70%,1.59
7,Amesbury,ESSEX,1/1/2018,"17,414","568,521,000","32,874","2,035,493,900","116,888",6,57.00%,35.60%,2.41
8,Amherst,HAMPSHIRE,1/1/2018,"39,833","697,913,000","17,524","2,348,821,000","58,967",2,84.10%,8.60%,1.92
9,Andover,ESSEX,1/1/2018,"35,299","2,678,633,000","76,456","7,972,993,500","225,870",2,59.30%,34.90%,1.92
10,Arlington,MIDDLESEX,1/1/2018,"44,815","2,428,958,000","54,612","9,073,201,400","202,459",2,83.10%,12.20%,1.66
11,Ashburnham,WORCESTER,1/1/2018,"6,209","198,573,000","32,126","600,324,900","96,686",0,77.70%,17.80%,2.85
12,Ashby,MIDDLESEX,1/1/2018,"3,226","92,062,000","28,689","288,229,500","89,346",0,44.00%,47%,2.61
13,Ashfield,FRANKLIN,1/1/2018,"1,723","47,093,000","27,237","241,758,400","140,312",1,38.60%,52.20%,1.85
14,Ashland,MIDDLESEX,1/1/2018,"17,573","793,877,000","45,844","2,509,720,800","142,817",0,74.90%,16.50%,1.97
15,Athol,WORCESTER,1/1/2018,"11,654","220,269,000","18,946","673,223,300","57,768",10,63.00%,30.70%,3.62
16,Attleboro,BRISTOL,1/1/2018,"44,284","1,338,612,000","30,372","4,266,596,600","96,346",17,42.80%,48.10%,2.93
17,Auburn,WORCESTER,1/1/2018,"16,516","522,728,000","31,846","2,042,948,200","123,695",1,51.30%,42.00%,2.79
18,Avon,NORFOLK,1/1/2018,"4,498","137,002,000","30,513","823,961,800","183,184",2,49.10%,43.80%,2.43
19,Ayer,MIDDLESEX,1/1/2018,"8,001","238,283,000","30,113","1,102,998,400","137,858",2,51.40%,43.70%,3.24
20,Barnstable,BARNSTABLE,1/1/2018,"44,331","1,622,772,000","36,477","13,665,091,900","308,251",35,53.80%,37.30%,3.52
21,Barre,WORCESTER,1/1/2018,"5,496","140,729,000","25,756","431,266,200","78,469",1,50.70%,43.90%,4.46
22,Becket,BERKSHIRE,1/1/2018,"1,762","43,668,000","24,699","518,810,500","294,444",0,42.10%,50.10%,3.43
23,Bedford,MIDDLESEX,1/1/2018,"14,171","916,585,000","65,089","3,503,731,500","247,247",1,57.00%,36.80%,2.14
24,Belchertown,HAMPSHIRE,1/1/2018,"14,929","475,030,000","31,971","1,458,257,000","97,679",6,65.30%,28.40%,2.41
25,Bellingham,NORFOLK,1/1/2018,"16,891","565,349,000","33,666","2,306,766,000","136,568",2,54.00%,38.80%,2.84
26,Belmont,MIDDLESEX,1/1/2018,"25,584","2,189,517,000","85,813","6,932,749,000","270,980",1,46.40%,46.70%,1.80
27,Berkley,BRISTOL,1/1/2018,"6,658","228,598,000","34,720","772,614,400","116,043",1,72.40%,22.00%,2.61
28,Berlin,WORCESTER,1/1/2018,"3,020","141,411,000","47,469","600,240,900","198,755",0,40.50%,54.00%,2.07
29,Bernardston,FRANKLIN,1/1/2018,"2,101","57,777,000","27,369","216,985,900","103,277",0,52.70%,38.90%,3.56
30,Beverly,ESSEX,1/1/2018,"41,186","1,668,415,000","40,613","6,145,554,700","149,215",12,59.20%,31.80%,2.27
31,Billerica,MIDDLESEX,1/1/2018,"42,683","1,454,167,000","34,294","6,134,145,700","143,714",8,61.00%,32.20%,2.55
32,Blackstone,WORCESTER,1/1/2018,"9,104","261,254,000","28,734","894,520,200","98,256",0,46.50%,48%,3.16
33,Blandford,HAMPDEN,1/1/2018,"1,259","35,553,000","28,307","174,294,800","138,439",0,41.20%,51.80%,2.28
34,Bolton,WORCESTER,1/1/2018,"5,180","371,409,000","72,357","1,007,514,900","194,501",0,36.80%,58.00%,1.75
35,Boston,SUFFOLK,1/1/2018,"667,137","29,526,511,000","44,718","143,576,209,500","215,212",247,58.90%,32.30%,2.32
36,Bourne,BARNSTABLE,1/1/2018,"19,681","653,521,000","33,108","4,397,828,000","223,456",4,81.70%,14.20%,3.31
37,Boxborough,MIDDLESEX,1/1/2018,"5,206","312,965,000","60,500","1,104,126,800","212,087",0,45.50%,49.10%,1.84
38,Boxford,ESSEX,1/1/2018,"8,253","943,647,000","115,037","1,748,702,500","211,887",0,67.70%,25.70%,1.94
39,Boylston,WORCESTER,1/1/2018,"4,534","247,223,000","55,233","686,459,600","151,403",0,49.30%,44.10%,2.55
40,Braintree,NORFOLK,1/1/2018,"37,497","1,435,172,000","38,359","6,327,219,800","168,739",6,51.60%,40.80%,2.44
41,Brewster,BARNSTABLE,1/1/2018,"9,918","313,019,000","31,469","3,720,926,000","375,169",0,52.50%,42.50%,3.64
42,Bridgewater,PLYMOUTH,1/1/2018,"27,628","801,354,000","29,107","2,684,073,900","97,150",1,57.90%,36.00%,2.39
43,Brimfield,HAMPDEN,1/1/2018,"3,741","119,618,000","32,129","417,860,100","111,697",2,44.60%,49.20%,3.12
44,Brockton,PLYMOUTH,1/1/2018,"95,314","1,841,711,000","19,427","6,479,586,800","67,981",51,39%,54.10%,3.48
45,Brookfield,WORCESTER,1/1/2018,"3,411","88,655,000","26,075","262,013,600","76,814",1,71.50%,24.80%,2.91
46,Brookline,NORFOLK,1/1/2018,"59,195","4,664,847,000","78,549","20,944,753,300","353,826",3,39.90%,52.80%,1.55
47,Buckland,FRANKLIN,1/1/2018,"1,864","37,589,760","20,080","222,381,700","119,303",0,84.90%,11.10%,1.72
48,Burlington,MIDDLESEX,1/1/2018,"25,920","1,109,005,000","43,154","6,191,239,400","238,860",20,68.50%,22.50%,2.06
49,Cambridge,MIDDLESEX,1/1/2018,"110,402","6,470,673,000","58,985","39,570,828,700","358,425",19,55%,39.70%,1.59
50,Canton,NORFOLK,1/1/2018,"22,817","1,251,113,000","55,479","4,615,563,300","202,286",1,89.20%,6.50%,2.51
51,Carlisle,MIDDLESEX,1/1/2018,"5,245","617,649,000","120,942","1,517,185,600","289,263",0,57.30%,37.40%,1.97
52,Carver,PLYMOUTH,1/1/2018,"11,629","330,452,000","28,554","1,242,705,100","106,863",1,70.40%,22.40%,2.91
53,Charlemont,FRANKLIN,1/1/2018,"1,234","27,466,000","22,061","137,142,200","111,136",0,40.90%,52.00%,3.15
54,Charlton,WORCESTER,1/1/2018,"13,406","448,024,000","33,666","1,487,604,400","110,966",0,58.20%,32.50%,2.77
55,Chatham,BARNSTABLE,1/1/2018,"6,143","325,472,000","53,026","6,588,014,300","1,072,443",0,38.00%,54.10%,4.34
56,Chelmsford,MIDDLESEX,1/1/2018,"35,149","1,455,092,000","41,541","5,436,078,900","154,658",3,53.50%,40.10%,2.31
57,Chelsea,SUFFOLK,1/1/2018,"39,398","633,679,000","16,561","2,791,398,900","70,851",13,54.20%,39.10%,2.50
58,Cheshire,BERKSHIRE,1/1/2018,"3,158","85,235,000","26,829","311,065,100","98,501",3,80%,16.80%,3.85
59,Chester,HAMPDEN,1/1/2018,"1,372","29,542,000","21,642","122,249,300","89,103",0,53.40%,40.40%,2.46
60,Chesterfield,HAMPSHIRE,1/1/2018,"1,249","24,785,000","19,844","157,173,400","125,839",0,35.10%,55%,2.01
61,Chicopee,HAMPDEN,1/1/2018,"56,741","1,071,122,000","18,943","3,898,874,600","68,714",17,53.50%,36.00%,3.72
62,Chilmark,DUKES,1/1/2018,916,"62,668,000","68,415","3,324,185,000","3,629,023",0,52.10%,42%,3.36
63,Clarksburg,BERKSHIRE,1/1/2018,"1,659","34,839,000","20,862","114,006,000","68,720",0,80.90%,12.30%,3.53
64,Clinton,WORCESTER,1/1/2018,"13,805","384,120,000","27,936","1,197,036,900","86,710",6,58.10%,37.20%,3.25
65,Cohasset,NORFOLK,1/1/2018,"8,393","901,460,000","108,063","2,746,663,500","327,256",0,53.70%,39.30%,1.83
66,Colrain,FRANKLIN,1/1/2018,"1,647","40,759,000","24,643","177,586,600","107,824",0,60.10%,33.80%,3.69
67,Concord,MIDDLESEX,1/1/2018,"19,830","2,283,226,000","117,017","6,238,214,600","314,585",4,57.60%,28.80%,1.89
68,Conway,FRANKLIN,1/1/2018,"1,881","62,177,000","32,985","251,373,100","133,638",0,76%,18.00%,1.84
69,Cummington,HAMPSHIRE,1/1/2018,871,"27,857,000","31,910","132,105,600","151,671",0,72.10%,20.80%,3.48
70,Dalton,BERKSHIRE,1/1/2018,"6,661","200,724,000","30,008","610,490,000","91,651",0,60.30%,28.20%,3.20
71,Danvers,ESSEX,1/1/2018,"27,849","1,079,052,000","38,921","4,637,914,500","166,538",4,64.80%,28%,2.14
72,Dartmouth,BRISTOL,1/1/2018,"34,715","1,096,656,000","31,728","5,465,842,900","157,449",4,51.20%,43.10%,3.10
73,Dedham,NORFOLK,1/1/2018,"25,397","1,285,381,000","50,584","4,726,182,700","186,092",6,53.00%,41.80%,2.47
74,Deerfield,FRANKLIN,1/1/2018,"5,015","188,128,000","37,275","701,406,100","139,862",0,60.90%,34%,2.13
75,Dennis,BARNSTABLE,1/1/2018,"14,005","469,184,000","33,453","6,726,007,200","480,258",2,66.00%,26.10%,5.31
76,Dighton,BRISTOL,1/1/2018,"7,399","234,027,000","32,006","893,256,400","120,727",1,53.40%,41.00%,2.77
77,Douglas,WORCESTER,1/1/2018,"8,728","295,118,000","33,988","939,822,500","107,679",1,40.20%,53.90%,2.41
78,Dover,NORFOLK,1/1/2018,"5,961","1,535,403,000","260,812","2,504,188,200","420,095",0,36.90%,55.60%,1.66
79,Dracut,MIDDLESEX,1/1/2018,"31,352","976,073,000","31,392","3,215,541,900","102,563",7,59.00%,32.60%,2.80
80,Dudley,WORCESTER,1/1/2018,"11,587","306,362,000","26,548","933,666,600","80,579",3,41.50%,52.10%,2.31
81,Dunstable,MIDDLESEX,1/1/2018,"3,435","178,003,000","52,508","512,397,400","149,170",0,39.50%,53.70%,2.06
82,Duxbury,PLYMOUTH,1/1/2018,"15,483","1,316,953,000","85,683","3,855,499,800","249,015",0,48.70%,42.80%,2.42
83,East Bridgewater,PLYMOUTH,1/1/2018,"14,343","445,632,000","31,275","1,577,500,000","109,984",3,52.90%,40.50%,2.56
84,East Brookfield,WORCESTER,1/1/2018,"2,187","64,853,000","29,654","219,179,100","100,219",0,40.80%,52.50%,2.69
85,East Longmeadow,HAMPDEN,1/1/2018,"16,213","630,422,000","39,110","1,924,966,600","118,730",0,35.80%,57%,2.29
86,Eastham,BARNSTABLE,1/1/2018,"4,915","172,703,000","35,081","2,915,139,400","593,111",0,45.20%,49.10%,5.82
87,Easthampton,HAMPSHIRE,1/1/2018,"16,030","438,853,000","27,336","1,523,884,600","95,065",4,61.30%,33.30%,2.46
88,Easton,BRISTOL,1/1/2018,"23,908","1,103,578,000","46,683","3,347,121,200","140,000",4,63.10%,30%,2.04
89,Edgartown,DUKES,1/1/2018,"4,306","213,674,000","49,726","7,747,629,000","1,799,264",1,49.90%,44.30%,6.82
90,Egremont,BERKSHIRE,1/1/2018,"1,210","28,619,000","23,535","425,211,700","351,415",0,65.70%,28.70%,1.74
91,Erving,FRANKLIN,1/1/2018,"1,776","33,690,000","18,863","887,378,000","499,650",0,75.00%,17.80%,2.57
92,Essex,ESSEX,1/1/2018,"3,661","195,659,000","53,856","820,482,500","224,114",0,50.90%,38%,2.54
93,Everett,MIDDLESEX,1/1/2018,"46,050","841,743,000","18,814","4,584,699,100","99,559",28,57.00%,34.00%,2.22
94,Fairhaven,BRISTOL,1/1/2018,"16,140","447,420,000","27,835","2,013,791,800","124,770",3,68.20%,28.40%,3.40
95,Fall River,BRISTOL,1/1/2018,"88,777","1,424,116,000","16,051","5,421,691,200","61,071",67,49.90%,44.80%,4.58
96,Falmouth,BARNSTABLE,1/1/2018,"31,524","1,144,732,000","36,337","11,892,819,800","377,262",9,58.60%,36.60%,3.71
97,Fitchburg,WORCESTER,1/1/2018,"40,545","724,704,000","17,894","2,306,844,100","56,896",11,58.00%,36.90%,3.85
98,Florida,BERKSHIRE,1/1/2018,730,"12,023,000","16,313","123,349,700","168,972",0,56%,36.70%,4.72
99,Foxborough,NORFOLK,1/1/2018,"17,456","833,641,000","47,913","2,963,786,200","169,786",3,49.00%,43.80%,2.34
100,Framingham,MIDDLESEX,1/1/2018,"71,209","2,612,713,000","36,874","8,446,149,400","118,611",25,51.30%,41.90%,2.10
101,Franklin,NORFOLK,1/1/2018,"33,147","1,539,326,000","46,631","5,001,281,700","150,882",4,70.30%,24.40%,2.34
102,Freetown,BRISTOL,1/1/2018,"9,179","295,691,000","32,504","1,281,370,100","139,598",1,53.80%,40%,2.59
103,Gardner,WORCESTER,1/1/2018,"20,333","400,013,000","19,734","1,186,613,100","58,359",23,41.20%,53.90%,3.81
104,Aquinnah,DUKES,1/1/2018,328,"4,903,000","14,903","724,087,400","2,207,584",0,49.40%,41.80%,3.08
105,Georgetown,ESSEX,1/1/2018,"8,584","385,536,000","45,267","1,211,493,100","141,134",1,47%,45.60%,2.33
106,Gill,FRANKLIN,1/1/2018,"1,492","36,847,000","24,680","159,051,900","106,603",0,63%,27.90%,2.03
107,Gloucester,ESSEX,1/1/2018,"29,781","1,035,844,000","35,007","6,026,476,200","202,360",16,60.60%,33.40%,4.09
108,Goshen,HAMPSHIRE,1/1/2018,"1,070","13,596,000","12,707","150,096,400","140,277",0,58.70%,34.40%,3.14
109,Gosnold,DUKES,1/1/2018,77,"1,617,000","21,000","232,938,000","3,025,169",0,55.40%,41.50%,0.00
110,Grafton,WORCESTER,1/1/2018,"18,540","851,863,000","46,362","2,333,827,700","125,881",2,53.80%,39.00%,2.45
111,Granby,HAMPSHIRE,1/1/2018,"6,352","189,518,000","29,897","601,538,100","94,701",0,45%,47%,2.59
112,Granville,HAMPDEN,1/1/2018,"1,622","51,072,000","31,526","199,372,400","122,918",0,35.00%,57.20%,3.79
113,Great Barrington,BERKSHIRE,1/1/2018,"6,907","278,270,000","40,224","1,430,331,200","207,084",0,78.00%,16%,2.91
114,Greenfield,FRANKLIN,1/1/2018,"17,450","373,311,000","21,306","1,421,720,500","81,474",11,66.70%,25.20%,2.68
115,Groton,MIDDLESEX,1/1/2018,"11,296","741,249,000","66,036","1,635,643,200","144,798",0,59.50%,32.90%,1.94
116,Groveland,ESSEX,1/1/2018,"6,750","251,257,000","37,596","892,145,100","132,170",0,45.60%,48.40%,2.17
117,Hadley,HAMPSHIRE,1/1/2018,"5,352","157,036,000","29,407","995,766,700","186,055",1,66.60%,27.10%,2.07
118,Halifax,PLYMOUTH,1/1/2018,"7,834","247,037,000","31,831","842,935,900","107,600",2,40.80%,52.70%,2.72
119,Hamilton,ESSEX,1/1/2018,"8,179","537,794,000","66,019","1,461,991,200","178,749",1,59%,32.90%,1.90
120,Hampden,HAMPDEN,1/1/2018,"5,223","222,249,000","42,765","592,716,700","113,482",1,39.30%,54.40%,2.73
121,Hancock,BERKSHIRE,1/1/2018,710,"8,087,000","11,342","309,488,700","435,900",0,50%,41.70%,1.92
122,Hanover,PLYMOUTH,1/1/2018,"14,424","748,793,000","52,184","2,595,375,300","179,935",0,44.00%,50.40%,2.24
123,Hanson,PLYMOUTH,1/1/2018,"10,630","345,002,000","33,065","1,233,299,600","116,021",2,40.90%,52.60%,2.74
124,Hardwick,WORCESTER,1/1/2018,"3,008","47,423,000","15,766","235,348,800","78,241",0,41.00%,51.40%,3.16
125,Harvard,WORCESTER,1/1/2018,"6,573","435,978,000","66,379","1,112,579,800","169,265",1,69.00%,24.70%,2.16
126,Harwich,BARNSTABLE,1/1/2018,"12,180","416,314,000","34,146","5,172,756,600","424,693",1,54.70%,39.70%,4.40
127,Hatfield,HAMPSHIRE,1/1/2018,"3,298","107,325,000","32,592","535,723,900","162,439",0,61.60%,31.80%,2.45
128,Haverhill,ESSEX,1/1/2018,"62,765","1,669,448,000","26,767","5,812,453,600","92,607",24,52.70%,41.20%,3.07
129,Hawley,FRANKLIN,1/1/2018,331,"5,126,000","15,486","52,222,400","157,772",0,54.40%,34.70%,2.73
130,Heath,FRANKLIN,1/1/2018,693,"8,295,000","11,867","96,911,500","139,843",0,54.80%,37.10%,2.38
131,Hingham,PLYMOUTH,1/1/2018,"23,120","2,373,036,000","103,297","6,668,867,000","288,446",0,59.80%,34.30%,2.32
132,Hinsdale,BERKSHIRE,1/1/2018,"1,959","59,225,000","29,957","303,864,800","155,112",0,55.00%,36.60%,4.50
133,Holbrook,NORFOLK,1/1/2018,"11,050","311,778,000","28,238","1,127,964,100","102,078",4,51.70%,42.30%,2.88
134,Holden,WORCESTER,1/1/2018,"18,645","752,051,000","40,695","2,129,003,300","114,186",1,50.70%,42.00%,2.26
135,Holland,HAMPDEN,1/1/2018,"2,506","69,387,000","27,733","340,016,400","135,681",0,35.60%,54.00%,2.66
136,Holliston,MIDDLESEX,1/1/2018,"14,525","751,032,000","52,184","2,407,279,400","165,734",1,62.90%,31%,2.29
137,Holyoke,HAMPDEN,1/1/2018,"40,684","633,134,000","15,571","2,101,821,200","51,662",29,70.30%,24.30%,4.60
138,Hopedale,WORCESTER,1/1/2018,"5,955","228,181,000","38,343","708,023,100","118,896",1,52.00%,40.70%,2.19
139,Hopkinton,MIDDLESEX,1/1/2018,"16,674","1,312,337,000","80,437","3,551,620,800","213,004",3,60.00%,32.60%,2.07
140,Hubbardston,WORCESTER,1/1/2018,"4,596","143,008,000","31,618","417,293,300","90,795",1,39.20%,51.80%,2.57
141,Hudson,MIDDLESEX,1/1/2018,"19,864","701,468,000","35,510","2,465,036,000","124,096",3,57.20%,36.00%,3.03
142,Hull,PLYMOUTH,1/1/2018,"10,491","382,370,000","36,587","2,074,982,700","197,787",3,57.90%,37.10%,2.94
143,Huntington,HAMPSHIRE,1/1/2018,"2,181","62,687,000","28,742","196,611,000","90,147",1,39.10%,52%,2.81
144,Ipswich,ESSEX,1/1/2018,"13,804","720,344,000","52,684","2,656,625,000","192,453",4,57.60%,35.40%,2.12
145,Kingston,PLYMOUTH,1/1/2018,"13,301","487,974,000","37,202","1,801,085,800","135,410",2,46.20%,47.60%,2.20
146,Lakeville,PLYMOUTH,1/1/2018,"11,338","410,726,000","36,493","1,560,763,600","137,658",1,39.50%,54.10%,2.67
147,Lancaster,WORCESTER,1/1/2018,"8,166","265,787,000","32,769","892,728,400","109,323",0,48.00%,43.10%,2.50
148,Lanesborough,BERKSHIRE,1/1/2018,"2,991","74,344,000","24,691","413,758,100","138,334",1,58.60%,35.00%,2.68
149,Lawrence,ESSEX,1/1/2018,"80,231","1,105,146,000","13,895","3,559,850,600","44,370",62,82.40%,14.70%,4.86
150,Lee,BERKSHIRE,1/1/2018,"5,816","154,298,000","26,385","971,502,900","167,040",1,65.20%,28.20%,3.33
151,Leicester,WORCESTER,1/1/2018,"11,334","308,510,000","27,350","938,090,200","82,768",2,43.00%,50.10%,2.83
152,Lenox,BERKSHIRE,1/1/2018,"4,988","213,779,000","42,790","1,236,509,800","247,897",1,74.70%,19%,3.35
153,Leominster,WORCESTER,1/1/2018,"41,569","1,090,701,000","26,317","3,443,640,600","82,842",24,50.70%,42.40%,3.09
154,Leverett,FRANKLIN,1/1/2018,"1,845","69,352,000","37,427","263,543,700","142,842",0,79.00%,14.70%,1.83
155,Lexington,MIDDLESEX,1/1/2018,"33,394","3,471,009,000","105,007","10,863,785,200","325,321",1,77.10%,18.20%,1.76
156,Leyden,FRANKLIN,1/1/2018,713,"23,572,000","32,876","84,406,000","118,381",0,63%,29%,1.81
157,Lincoln,MIDDLESEX,1/1/2018,"7,491","996,997,000","136,725","2,091,782,100","279,239",0,77.70%,16.40%,1.66
158,Littleton,MIDDLESEX,1/1/2018,"9,912","476,673,000","50,688","1,710,179,700","172,536",0,59.70%,32.50%,2.11
159,Longmeadow,HAMPDEN,1/1/2018,"15,898","1,105,089,000","69,603","2,077,458,300","130,674",2,57.10%,37.20%,1.99
160,Lowell,MIDDLESEX,1/1/2018,"110,699","2,180,162,000","19,777","7,154,033,100","64,626",74,65.00%,29.40%,3.21
161,Ludlow,HAMPDEN,1/1/2018,"21,472","553,134,000","25,853","2,094,585,700","97,550",3,44.20%,50.30%,3.72
162,Lunenburg,WORCESTER,1/1/2018,"11,241","381,509,000","34,339","1,293,035,700","115,029",1,47.30%,45.30%,2.27
163,Lynn,ESSEX,1/1/2018,"92,457","1,775,220,000","19,272","6,738,721,300","72,885",48,67.50%,28.40%,2.91
164,Lynnfield,ESSEX,1/1/2018,"12,761","891,656,000","70,475","3,007,167,600","235,653",2,43.30%,52%,2.18
165,Malden,MIDDLESEX,1/1/2018,"61,068","1,490,264,000","24,459","6,275,190,000","102,757",14,70.80%,24.90%,2.24
166,Manchester By The Sea,ESSEX,1/1/2018,"5,366","637,890,000","119,679","2,394,763,100","446,285",0,64.90%,27.60%,2.32
167,Mansfield,BRISTOL,1/1/2018,"23,687","1,090,091,000","46,182","3,521,948,200","148,687",2,53.70%,39.70%,2.33
168,Marblehead,ESSEX,1/1/2018,"20,517","1,584,397,000","77,533","5,735,475,100","279,547",1,64.10%,30%,2.06
169,Marion,PLYMOUTH,1/1/2018,"5,086","293,977,000","58,052","1,612,928,900","317,131",1,57.80%,36.00%,1.96
170,Marlborough,MIDDLESEX,1/1/2018,"39,818","1,294,674,000","32,648","5,355,166,300","134,491",22,59.80%,33.70%,2.45
171,Marshfield,PLYMOUTH,1/1/2018,"25,709","1,213,390,000","47,361","4,661,838,100","181,331",5,47.50%,47%,2.40
172,Mashpee,BARNSTABLE,1/1/2018,"14,154","485,767,000","34,579","5,088,701,800","359,524",0,50.80%,43.90%,3.71
173,Mattapoisett,PLYMOUTH,1/1/2018,"6,267","341,896,000","55,003","1,699,019,800","271,106",4,50.80%,44.00%,2.43
174,Maynard,MIDDLESEX,1/1/2018,"10,676","399,554,000","37,883","1,322,157,600","123,844",1,65.20%,28.30%,2.58
175,Medfield,NORFOLK,1/1/2018,"12,718","1,094,807,000","88,206","2,639,413,000","207,534",1,60%,32.90%,1.97
176,Medford,MIDDLESEX,1/1/2018,"57,403","1,976,085,000","34,490","8,962,552,200","156,134",6,69.50%,26.20%,2.14
177,Medway,NORFOLK,1/1/2018,"13,253","631,012,000","47,826","1,890,229,500","142,627",2,53.60%,39.40%,2.26
178,Melrose,MIDDLESEX,1/1/2018,"27,997","1,251,016,000","44,757","4,523,617,700","161,575",19,65.20%,29.60%,2.12
179,Mendon,WORCESTER,1/1/2018,"6,024","307,084,000","51,507","901,857,400","149,711",1,44.10%,48.90%,2.64
180,Merrimac,ESSEX,1/1/2018,"6,800","221,181,000","32,938","746,617,400","109,797",0,49.80%,42.80%,2.27
181,Methuen,ESSEX,1/1/2018,"49,660","1,405,122,000","28,556","5,170,366,300","104,115",11,50.80%,44.70%,3.09
182,Middleborough,PLYMOUTH,1/1/2018,"24,350","648,687,000","27,051","2,456,342,300","100,876",4,39.30%,53.80%,2.72
183,Middlefield,HAMPSHIRE,1/1/2018,527,"9,089,000","17,181","65,947,000","125,137",0,52.40%,38.90%,1.98
184,Middleton,ESSEX,1/1/2018,"9,738","445,200,000","46,235","1,895,561,200","194,656",1,42.60%,52.90%,2.36
185,Milford,WORCESTER,1/1/2018,"28,614","910,696,000","31,958","3,206,234,500","112,051",16,55%,39.30%,2.94
186,Millbury,WORCESTER,1/1/2018,"13,537","406,127,000","30,184","1,531,502,600","113,135",3,44.50%,48.70%,2.65
187,Millis,NORFOLK,1/1/2018,"8,169","330,097,000","40,702","1,158,638,500","141,834",1,53.70%,38.80%,2.73
188,Millville,WORCESTER,1/1/2018,"3,234","95,433,000","29,610","287,812,000","88,996",0,38.30%,54%,2.81
189,Milton,NORFOLK,1/1/2018,"27,374","1,682,923,000","61,421","5,448,423,500","199,036",5,68.00%,27.30%,2.08
190,Monroe,FRANKLIN,1/1/2018,120,"696,000","5,800","26,041,800","217,015",0,43.10%,44.80%,1.28
191,Monson,HAMPDEN,1/1/2018,"8,789","233,896,000","26,719","771,423,700","87,771",1,42.30%,49.90%,3.24
192,Montague,FRANKLIN,1/1/2018,"8,272","182,050,000","21,902","819,151,800","99,027",1,65.80%,25%,3.09
193,Monterey,BERKSHIRE,1/1/2018,948,"31,466,000","33,018","512,880,300","541,013",0,77.70%,16.40%,3.66
194,Montgomery,HAMPDEN,1/1/2018,859,"35,063,000","40,771","107,499,100","125,144",0,38.00%,53.60%,2.81
195,Mount Washington,BERKSHIRE,1/1/2018,163,"3,078,000","18,768","84,080,700","515,833",0,73.10%,18.30%,4.35
196,Nahant,ESSEX,1/1/2018,"3,485","236,770,000","68,253","855,781,400","245,561",0,57.80%,37.50%,2.61
197,Nantucket,NANTUCKET,1/1/2018,"10,925","623,516,000","57,621","21,682,664,300","1,984,683",2,65%,29.50%,6.08
198,Natick,MIDDLESEX,1/1/2018,"36,262","1,938,364,000","54,316","7,812,219,900","215,438",1,69.00%,25.40%,1.91
199,Needham,NORFOLK,1/1/2018,"30,564","3,139,408,000","103,782","9,675,551,500","316,567",0,72.30%,22.70%,1.74
200,New Ashford,BERKSHIRE,1/1/2018,225,"5,516,000","24,625","41,454,700","184,243",0,63.10%,24.40%,4.83
201,New Bedford,BRISTOL,1/1/2018,"94,958","1,532,624,000","16,141","5,618,295,200","59,166",63,64%,31.60%,4.75
202,New Braintree,WORCESTER,1/1/2018,"1,022","37,514,000","36,706","106,822,200","104,523",0,40.20%,53.30%,2.65
203,New Marlborough,BERKSHIRE,1/1/2018,"1,478","51,493,000","34,559","509,073,000","344,434",0,66.30%,25.60%,2.00
204,New Salem,FRANKLIN,1/1/2018,999,"25,280,000","25,331","107,358,200","107,466",0,56.60%,35.00%,3.03
205,Newbury,ESSEX,1/1/2018,"6,971","390,494,000","56,462","1,397,923,000","200,534",0,55.30%,38.50%,2.36
206,Newburyport,ESSEX,1/1/2018,"17,982","933,250,000","52,169","4,020,718,600","223,597",7,66.20%,27.90%,2.00
207,Newton,MIDDLESEX,1/1/2018,"88,817","10,339,483,000","116,822","26,237,044,400","295,406",3,78.70%,17.00%,1.78
208,Norfolk,NORFOLK,1/1/2018,"11,908","595,626,000","50,520","1,697,790,600","142,576",1,50.20%,42%,2.37
209,North Adams,BERKSHIRE,1/1/2018,"13,263","210,410,000","15,758","763,510,200","57,567",4,65%,28%,4.80
